iter	Passed	Remaining
0	3	301
1	5	262
2	7	245
3	9	231
4	12	228
5	14	222
6	16	220
7	18	210
8	19	199
9	21	190
10	22	183
11	24	177
12	26	176
13	28	177
14	30	175
15	32	169
16	33	165
17	35	160
18	36	156
19	38	152
20	39	149
21	41	146
22	42	142
23	44	140
24	45	137
25	47	134
26	48	131
27	50	129
28	51	126
29	53	124
30	55	122
31	56	120
32	57	117
33	59	115
34	61	113
35	62	111
36	64	109
37	65	106
38	66	104
39	68	102
40	70	100
41	71	98
42	73	96
43	74	94
44	75	92
45	77	90
46	78	88
47	79	86
48	81	84
49	83	83
50	84	81
51	86	79
52	87	77
53	89	75
54	90	74
55	92	72
56	93	70
57	95	68
58	96	67
59	98	65
60	99	63
61	101	61
62	102	60
63	104	58
64	105	56
65	107	55
66	108	53
67	110	52
68	112	50
69	113	48
70	115	47
71	116	45
72	118	43
73	119	42
74	121	40
75	122	38
76	124	37
77	126	35
78	127	34
79	129	32
80	130	30
81	132	29
82	133	27
83	135	25
84	136	24
85	138	22
86	139	20
87	141	19
88	142	17
89	144	16
90	145	14
91	147	12
92	148	11
93	150	9
94	152	8
95	153	6
96	155	4
97	156	3
98	158	1
99	159	0
