iter	Passed	Remaining
0	190	190779
1	195	97329
2	199	66182
3	207	51584
4	209	41741
5	211	35073
6	213	30346
7	217	26913
8	218	24112
9	220	21856
10	222	20002
11	224	18461
12	226	17161
13	227	16048
14	229	15078
15	231	14254
16	233	13498
17	234	12817
18	236	12206
19	237	11657
20	239	11169
21	241	10718
22	242	10305
23	245	9990
24	247	9641
25	248	9315
26	250	9015
27	251	8740
28	253	8481
29	254	8240
30	256	8012
31	258	7829
32	260	7635
33	262	7445
34	263	7265
35	265	7101
36	266	6942
37	268	6790
38	269	6649
39	271	6512
40	274	6416
41	275	6291
42	277	6172
43	279	6063
44	280	5953
45	282	5849
46	283	5750
47	285	5656
48	288	5593
49	289	5506
50	291	5423
51	292	5341
52	294	5262
53	295	5185
54	297	5112
55	299	5040
56	301	4988
57	303	4925
58	304	4863
59	306	4800
60	307	4739
61	309	4679
62	310	4623
63	312	4567
64	313	4513
65	316	4485
66	318	4437
67	320	4388
68	321	4339
69	323	4292
70	324	4246
71	326	4202
72	327	4158
73	328	4116
74	331	4092
75	333	4053
76	334	4013
77	336	3975
78	337	3937
79	339	3900
80	340	3865
81	342	3830
82	342	3789
83	345	3772
84	347	3741
85	349	3709
86	350	3678
87	351	3647
88	353	3618
89	355	3589
90	356	3560
91	360	3553
92	361	3529
93	364	3508
94	365	3485
95	368	3465
96	370	3445
97	372	3424
98	373	3402
99	376	3385
100	377	3361
101	379	3337
102	380	3314
103	382	3291
104	383	3268
105	384	3246
106	386	3226
107	388	3205
108	390	3190
109	391	3170
110	393	3150
111	394	3130
112	396	3110
113	397	3091
114	399	3073
115	400	3055
116	402	3034
117	405	3027
118	406	3010
119	408	2992
120	409	2975
121	410	2956
122	412	2939
123	414	2925
124	415	2909
125	417	2896
126	419	2883
127	421	2868
128	422	2852
129	424	2837
130	425	2822
131	426	2807
132	428	2794
133	430	2780
134	431	2766
135	434	2758
136	435	2744
137	437	2730
138	438	2716
139	440	2703
140	441	2691
141	442	2675
142	444	2662
143	445	2649
144	448	2645
145	450	2633
146	451	2620
147	453	2608
148	454	2597
149	456	2585
150	457	2573
151	459	2561
152	460	2550
153	463	2546
154	464	2534
155	466	2523
156	468	2513
157	469	2503
158	471	2492
159	472	2481
160	473	2468
161	475	2457
162	477	2453
163	479	2443
164	480	2433
165	482	2425
166	484	2417
167	486	2408
168	487	2399
169	489	2389
170	492	2385
171	493	2376
172	495	2367
173	496	2359
174	498	2349
175	499	2340
176	501	2331
177	502	2322
178	504	2313
179	507	2310
180	508	2302
181	510	2293
182	511	2285
183	513	2277
184	515	2268
185	516	2260
186	518	2252
187	519	2244
188	522	2242
189	524	2234
190	525	2226
191	527	2218
192	528	2210
193	529	2201
194	531	2194
195	532	2186
196	534	2178
197	537	2176
198	538	2169
199	540	2161
200	541	2154
201	543	2146
202	544	2138
203	546	2131
204	547	2124
205	549	2117
206	551	2114
207	553	2108
208	555	2101
209	556	2094
210	558	2087
211	559	2080
212	561	2073
213	562	2066
214	565	2065
215	567	2058
216	568	2052
217	570	2045
218	571	2038
219	573	2031
220	574	2025
221	576	2018
222	577	2012
223	580	2012
224	582	2006
225	583	1999
226	585	1993
227	586	1986
228	588	1980
229	589	1974
230	591	1968
231	594	1969
232	596	1964
233	598	1959
234	600	1955
235	602	1950
236	604	1945
237	606	1940
238	609	1940
239	611	1935
240	612	1930
241	614	1924
242	616	1919
243	617	1914
244	619	1908
245	621	1903
246	622	1898
247	624	1893
248	626	1889
249	627	1883
250	629	1878
251	630	1872
252	632	1866
253	633	1861
254	635	1856
255	637	1853
256	639	1848
257	640	1843
258	642	1837
259	643	1832
260	645	1827
261	646	1822
262	648	1817
263	650	1813
264	653	1811
265	654	1806
266	656	1801
267	657	1795
268	658	1790
269	660	1785
270	661	1780
271	663	1776
272	665	1771
273	667	1769
274	669	1766
275	671	1762
